No.,屬性,類型,基因名稱,基因等級,等級,主/被,技能名稱,技能細節,目標,羈絆值消耗,基礎值【強化2】,技能特效【強化2】,固有,一般,稀有
120,無,力量,大咆哮基因【特大】,XL,20,主動,大咆哮,"對敵方全體造成無屬性中量傷害。高機率使其陷入擊倒。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,25,60,"擊倒 80% 2回合
設置陷阱[3] 120% 2回合",黑轟龍、鏖魔角龍,,
121,無,技巧,惡臭基因【小】,S,1,主動,惡臭氣體,"對單一敵方造成無屬性小量傷害。中機率使其陷入惡臭狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,10,40,惡臭[100] 50% 3回合,桃毛獸王,,
122,無,技巧,惡臭基因【中】,M,10,主動,惡臭吐息,"對單一敵方造成無屬性小量傷害。中機率使其陷入中毒‧麻痺‧燒傷其一。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,16,40,"毒 50% 3回合
麻痺 50% 3回合
燒傷 50% 2回合",桃毛獸王、綠毛獸王,,
123,無,技巧,惡臭基因【大】,L,1,主動,爆裂惡臭氣體,"對單一敵方造成無屬性中量傷害。中機率使其陷入惡臭‧爆破異常其一。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,13,60,"惡臭 50% 3回合
爆破異常 50% 3回合
惡臭 50% 3回合",綠毛獸王,,
124,,,惡臭基因【特大】,XL,,,,,,,,,,,
125,,,爆炎吐息基因【小】,S,,,,,,,,,,,
126,火,力量,爆炎吐息基因【中】,M,1,主動,爆轟吐息,"對單一敵方造成火屬性大量傷害。中機率使其陷入爆破異常狀態。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,21,110,爆破異常 50% 5回合,黑炎王火龍,,
127,火,力量,爆炎吐息基因【大】,L,15,主動,轟擊爆裂,"對敵方全體造成火屬性大量傷害。低機率使其陷入爆破異常狀態。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,40,114,爆破異常 35% 5回合,黑炎王火龍,,
128,,,爆炎吐息基因【特大】,XL,,,,,,,,,,,
129,,,粉塵基因【小】,S,,,,,,,,,,,
130,,,粉塵基因【中】,M,,,,,,,,,,,
131,火,力量,粉塵基因【大】,L,1,主動,粉塵,"對敵方全體造成火屬性大量傷害。高機率使其陷入爆破異常狀態。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,44,110,爆破異常 80% 5回合,大轟龍,,
132,火,無,粉塵基因【特大】,XL,1,主動,粉塵爆炸,"對敵方全體造成隨機次數的火屬性大量傷害。高機率賦予爆破異常。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",隨機全體,20,110,爆破異常 80% 5回合,炎王龍,,
133,無,力量,猛毒基因【小】,S,20,主動,猛毒液,"對單一敵方造成無屬性小量傷害。低機率使其陷入猛毒狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,9,40,猛毒 15% 3回合,紫毒鳥,,
134,水,力量,猛毒基因【中】,M,20,主動,猛毒水彈,"對單一敵方造成水屬性中量傷害。高機率使其陷入猛毒狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,14,60,猛毒 80% 3回合,紫水獸、加爾克(水),,
135,無,技巧,猛毒基因【大】,L,1,主動,猛毒掃擊,"對敵方全體造成無屬性大量傷害。中機率使其陷入猛毒狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,42,80,猛毒 50% 3回合,紫毒姬雌火龍,,
136,無,速度,猛毒基因【特大】,XL,40,主動,女王劇毒,"對單一敵方造成無屬性大量傷害。高機率使其陷入劇毒狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,31,113,劇毒 80% 3回合,紫毒姬雌火龍,,
137,,,黏菌基因【小】,S,,,,,,,,,,,
138,火,力量,黏菌基因【中】,M,1,主動,黏菌踩踏,"對單一敵方造成火屬性小量傷害。低機率使其陷入爆破異常狀態。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,9,40,爆破異常 35% 5回合,碎龍,,
139,火,無,黏菌基因【大】,L,30,主動,爆炸鬥氣,"賦予自己的攻擊爆破異常效果。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",自身,5,0,賦予爆破能力 100% 5回合,碎龍,,
140,,,黏菌基因【特大】,XL,,,,,,,,,,,
141,無,無,狂擊基因【小】,S,1,主動,岩石射手,"隨機對單一敵方造成無屬性中量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",隨機單體,9,60,,轟龍、黑轟龍,,
142,無,無,狂擊基因【中】,M,1,主動,岩石砲,"隨機對單一敵方造成無屬性大量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",隨機單體,18,110,,荒鉤爪轟龍,,
143,雷,無,狂擊基因【大】,L,1,主動,雷霆,"對敵方全體造成隨機次數的雷屬性大量傷害。低機率賦予麻痺3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",隨機全體,20,110,麻痺 40% 3回合,麒麟,,
144,,,狂擊基因【特大】,XL,,,,,,,,,,,
145,,,連擊基因【小】,S,,,,,,,,,,,
146,,,連擊基因【中】,M,,,,,,,,,,,
147,冰,無,連擊基因【大】,L,1,主動,冰尖,"對敵方全體造成隨機次數的冰屬性大量傷害。中機率賦予技能封印。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",隨機全體,19,110,技能封印 50% 2回合,冰呪龍,,
148,雷,無,連擊基因【特大】,XL,1,主動,落雷,"對敵方全體造成隨機次數的雷屬性大量傷害。低機率賦予麻痺3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",隨機全體,20,113,麻痺 40% 3回合,金雷公雷狼龍,,
149,,,蟲彈基因【小】,S,,,,,,,,,,,
150,雷,速度,蟲彈基因【中】,M,1,主動,雷光蟲彈,"對單一敵方造成雷屬性小量傷害。低機率使其陷入麻痺狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,11,40,麻痺 40% 3回合,雷狼龍,,
151,龍,技巧,蟲彈基因【大】,L,1,主動,蝕龍蟲彈,"對單一敵方造成龍屬性中量傷害。中機率使其會心率降低3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,12,60,會心率降低[30] 50% 3回合,獄狼龍,,
152,雷,力量,蟲彈基因【特大】,XL,15,主動,重雷光蟲彈,"對單一敵方造成雷屬性大量傷害。中機率使其陷入麻痺狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,24,110,麻痺 50% 3回合,金雷公雷狼龍,,
153,無,無,棘彈基因【小】,S,8,主動,刺彈,"對敵方全體造成無屬性小量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",全體,16,40,,迅龍、綠迅龍,,
154,無,速度,棘彈基因【中】,M,30,主動,昏厥刺彈,"對敵方全體造成無屬性中量傷害。低機率使其陷入暈眩。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,38,60,暈眩 35% 1回合,綠迅龍,,
155,無,技巧,棘彈基因【大】,L,30,主動,破裂刃鱗,"對敵方全體造成無屬性中量傷害。中機率使其陷入裂傷狀態2回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,25,60,裂傷 50% 2回合,千刃龍,,
156,無,速度,棘彈基因【特大】,XL,15,主動,追蹤刺彈,"對單一敵方造成無屬性大量傷害。無視敵方的迴避率必定命中。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,19,113,必定命中,白疾風迅龍,,
157,無,技巧,投擲基因【小】,S,4,主動,岩石拋投,"對單一敵方造成無屬性小量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,8,40,,搔鳥,,
158,冰,速度,投擲基因【中】,M,1,主動,巨獸拋投,"對單一敵方造成冰屬性小量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,8,40,,白兔獸,,
159,冰,力量,投擲基因【大】,L,1,主動,寒冰拋投,"對單一敵方造成冰屬性大量傷害。中機率使其陷入技能封印狀態2回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,21,110,技能封印 50% 2回合,巨獸,,
160,冰,力量,投擲基因【特大】,XL,1,主動,銀嶺雪砲,"對敵方全體造成冰屬性大量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",全體,38,110,,銀嶺巨獸,,
161,水,技巧,黏液基因【小】,S,1,主動,黏液,"對單一敵方造成水屬性小量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,8,40,,奇猿狐,,
162,,,黏液基因【中】,M,,,,,,,,,,,
163,火,技巧,黏液基因【大】,L,1,主動,掃射火焰液,"對敵方全體造成火屬性中量傷害。中機率使其陷入燒傷狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,24,60,燒傷 50% 3回合,白猿狐,,
164,雷,力量,黏液基因【特大】,XL,1,主動,電漿液,"對單一敵方造成雷屬性大量傷害。低機率使其陷入麻痺狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,22,110,麻痺 40% 3回合,雷顎龍,,
165,,,火罩基因【小】,S,,,,,,,,,,,
166,火,無,火罩基因【中】,M,30,主動,熾紅熱炎,"自己的火屬性攻擊力與防禦力小幅提升。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",自身,15,0,"火屬性攻擊力提升[15] 100% 5回合
全屬性防禦力提升[15] 100% 5回合",斬龍、加爾克(火),,
167,,,火罩基因【大】,L,,,,,,,,,,,
168,火,無,火罩基因【特大】,XL,40,主動,絢麗閃焰,"火屬性攻擊力與防禦力中幅提升5回合，並蓄力2回合。
【強化1】各個效果額外獲得小幅提升
【強化2】各個效果額外獲得中幅提升",自身,19,0,"火屬性攻擊力提升[30] 100% 5回合 
全屬性防禦力提升[30] 100% 5回合 
蓄力[100] 100% 2回合",櫻火龍,,
169,,,雷罩基因【小】,S,,,,,,,,,,,
170,雷,無,雷罩基因【中】,M,15,主動,高電壓,"自己的雷屬性攻擊力小幅提升。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",自身,6,0,雷屬性攻擊力提升[15] 100% 5回合,飛雷龍、雷狼龍、加爾克(雷),,
171,雷,無,雷罩基因【大】,L,40,主動,極電壓,"自己的雷屬性攻擊力中幅提升，且防禦力小幅提升。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",自身,16,0,"雷屬性攻擊力提升[30] 100% 5回合
全屬性防禦力提升[15] 100% 5回合",金雷公雷狼龍,,
172,雷,無,雷罩基因【特大】,XL,15,主動,青電壓,"雷屬性攻擊力與防禦力中幅提升5回合，並蓄力2回合。
【強化1】各個效果額外獲得小幅提升
【強化2】各個效果額外獲得中幅提升",自身,19,0,"雷屬性攻擊力提升[30] 100% 5回合
全屬性防禦力提升[30] 100% 5回合
蓄力[100] 100% 2回合",青電主電龍,,
173,,,冰罩基因【小】,S,,,,,,,,,,,
174,冰,無,冰罩基因【中】,M,20,主動,冰盔甲,"自己的冰屬性攻擊力中幅提升。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",自身,7,0,冰屬性攻擊力提升[30] 100% 5回合,冰鮫鯊、冰土砂龍、加爾克(冰),,
175,冰,無,冰罩基因【大】,L,15,主動,雪盔甲,"自己的冰屬性攻擊力小幅提升，且防禦力中幅提升。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",自身,17,0,"冰屬性攻擊力提升[15] 100% 5回合
全屬性防禦力提升[30] 100% 5回合",巨獸、銀嶺巨獸,,
176,,,冰罩基因【特大】,XL,,,,,,,,,,,
177,,,龍罩基因【小】,S,,,,,,,,,,,
178,,,龍罩基因【中】,M,,,,,,,,,,,
179,龍,無,龍罩基因【大】,L,15,主動,龍極光,"自己的龍屬性攻擊力與防禦力中幅提升，並額外提升會心率。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",自身,24,0,"龍屬性攻擊力提升[30] 100% 5回合
全屬性防禦力提升[30] 100% 5回合
會心率提升[30] 100% 5回合",獄狼龍、加爾克(龍),,
180,,,龍罩基因【特大】,XL,,,,,,,,,,,
181,無,無,治愈基因【小】,S,1,主動,療癒之聲,"使單一我方的體力回復。
【強化0】獲得中量回復。
【強化1】獲得特大回復
【強化2】獲得極大回復",我方單體,36,3,體力回復[?],草食龍,,
182,,,治愈基因【中】,M,,,,,,,,,,,
183,,,治愈基因【大】,L,,,,,,,,,,,
184,,,治愈基因【特大】,XL,,,,,,,,,,,
185,,,回復基因【小】,S,,,,,,,,,,,
186,無,無,回復基因【中】,M,1,主動,蜂蜜力量,"回合開始時，自己的體力獲得微量回復。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",自身,26,0,自然回復[10] 100% 5回合,青熊獸,,
187,無,無,回復基因【大】,L,20,主動,蘑菇之力,"自己的體力完全回復。
【強化1】在2回合間，體力獲得微量回復。
【強化2】在2回合間，體力獲得少許回復。",自身,40,100,"體力完全回復
自然回復[?] 100% 2回合",桃毛獸王,,
188,無,無,回復基因【特大】,XL,30,主動,天賦活心,"我方回復1個生命值，無法回復至超過上限。
【強化1】體力獲得微量回復。
【強化2】體力獲得少許回復。",我方單體,96,1,"生命回復[1]
體力回復[?]",草食龍、背甲龍、波波,,
189,無,無,治療基因【小】,S,4,主動,治癒之聲,"治療單一我方的狀態異常。
【強化1】體力獲得少量回復。
【強化2】體力獲得中量回復。",我方單體,16,1,"治療狀態異常
體力回復[?]",草食龍,,
190,無,無,治療基因【中】,M,10,主動,治療咆哮,"治療我方全體的狀態異常。
【強化1】體力獲得極小回復。
【強化2】體力獲得微量回復。",我方全體,20,0,"治療狀態異常
體力回復[?]",波波,,
191,,,治療基因【大】,L,,,,,,,,,,,
192,,,治療基因【特大】,XL,,,,,,,,,,,
193,,,羈絆回復基因【小】,S,,,,,,,,,,,
194,,,羈絆回復基因【中】,M,,,,,,,,,,,
195,火,無,羈絆回復基因【大】,L,40,主動,太陽咆哮,"增加羈絆值。
【強化0】羈絆值增加量：30
【強化1】羈絆值增加量：35
【強化2】羈絆值增加量：40",自身,20,0,,擂斯、銀火龍,,
196,,,羈絆回復基因【特大】,XL,,,,,,,,,,,
197,,,硬化基因【小】,S,,,,,,,,,,,
198,,,硬化基因【中】,M,,,,,,,,,,,
199,無,無,硬化基因【大】,L,1,主動,硬化身體,"自己的防禦力中幅提升。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",自身,17,0,全屬性防禦力提升[30] 100% 5回合,岩龍、桃岩龍、黑鎧龍,,
200,,,硬化基因【特大】,XL,,,,,,,,,,,
201,無,無,防禦基因【小】,S,1,主動,岩石盾,"自己的防禦力小幅提升。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",自身,16,0,全屬性防禦力提升[15] 100% 5回合,搔鳥,,
202,無,無,防禦基因【中】,M,30,主動,完美防禦,"在1回合間，自己承受的傷害大幅減輕。
【強化1】效果量：中幅提升
【強化2】效果量：大幅提升",自身,11,0,防禦減傷[80] 100% 1回合,綠毛獸王,,
203,,,防禦基因【大】,L,,,,,,,,,,,
204,,,防禦基因【特大】,XL,,,,,,,,,,,
205,,,瞄準基因【小】,S,,,,,,,,,,,
206,,,瞄準基因【中】,M,,,,,,,,,,,
207,無,無,瞄準基因【大】,L,20,主動,瞄準,"下個回合，自己的命中率提升。
【強化1】命中率：中幅提升
【強化2】命中率：大幅提升",自身,6,0,命中率提升[100] 100% 5回合,轟龍、白一角龍,,
208,,,瞄準基因【特大】,XL,,,,,,,,,,,
209,無,無,俊敏基因【小】,S,1,主動,研磨刀刃,"自己的攻擊力與會心率小幅提升。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",自身,15,0,"全屬性攻擊力提升[15] 100% 5回合
會心率提升[15] 100% 5回合",迅龍、加爾克(無),,
210,無,無,俊敏基因【中】,M,1,主動,隱秘,"自己的迴避率與會心率小幅提升。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",自身,21,0,"迴避率提升[15] 100% 5回合
會心率提升[15] 100% 5回合",綠迅龍,,
211,,,俊敏基因【大】,L,,,,,,,,,,,
212,,,俊敏基因【特大】,XL,,,,,,,,,,,
213,,,回避基因【小】,S,,,,,,,,,,,
214,,,回避基因【中】,M,,,,,,,,,,,
215,無,無,回避基因【大】,L,30,主動,看破,"在使用回合中，迴避敵方對自己的攻擊。
【強化0】迴避次數：1
【強化1】迴避次數：2
【強化2】迴避次數：3",自身,21,0,絕對迴避[3] 100% 1回合,風牙龍、火龍,,
216,無,無,回避基因【特大】,XL,1,主動,白影殘,"迴避敵方對自己的攻擊。
【強化0】僅在使用回合中有效，可迴避1次。
【強化1】僅在使用回合中有效，可迴避2次。
【強化2】2回合間有效，可迴避2次。迴避次數可延續。",自身,21,0,絕對迴避[2] 100% 2回合,白疾風迅龍,,
217,無,無,怒吼基因【小】,S,1,主動,攻擊咆哮,"我方全體的全屬性攻擊力小幅提升。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",我方全體,19,0,全屬性攻擊力提升[15] 100% 5回合,狗龍王,,
218,無,無,怒吼基因【中】,M,1,主動,突擊咆哮,"我方全體的全屬性攻擊力中幅提升。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",我方全體,20,0,全屬性攻擊力提升[20] 100% 5回合,一角龍,,
219,無,無,怒吼基因【大】,L,15,主動,猛擊咆哮,"我方全體的全屬性攻擊力大幅提升。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",我方全體,21,0,全屬性攻擊力提升[30] 100% 5回合,千刃龍、加爾克(水),,
220,火,無,怒吼基因【特大】,XL,15,主動,轟炸咆哮,"我方全體的爆破類傷害中幅提升。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",我方全體,10,0,爆破傷害提升[25] 100% 5回合,爆鱗龍,,
221,,,蓄力基因【小】,S,,,,,,,,,,,
222,無,無,蓄力基因【中】,M,20,主動,強能蓄力,"下個回合，自己的全屬性攻擊力特大提升。
【強化1】效果量：中幅提升
【強化2】效果量：大幅提升",自身,10,0,"全屬性攻擊力提升[?]
蓄力[120] 100% 2回合",野豬王、角龍、黑角龍,,
223,,,蓄力基因【大】,L,,,,,,,,,,,
224,無,無,蓄力基因【特大】,XL,15,主動,高能蓄力,"在2回合間，自己的全屬性攻擊力大幅提升。
【強化1】效果量：中幅提升
【強化2】效果量：大幅提升",自身,10,0,"全屬性攻擊力提升[?]
蓄力[80] 100% 3回合",金獅子,,
225,無,無,威壓基因【小】,S,4,主動,威壓,"高機率使敵方全體的全屬性攻擊力小幅降低3回合。
【強化1】　賦予率：小幅提升
【強化2】　賦予率：中幅提升",全體,19,0,全屬性攻擊力降低[15] 100% 3回合,迅猛龍王,,
226,,,威壓基因【中】,M,,,,,,,,,,,
227,無,無,威壓基因【大】,L,40,主動,王者威壓,"高機率使敵方全體的全屬性攻擊力中幅降低3回合。
【強化1】　賦予率：小幅提升
【強化2】　賦予率：中幅提升",全體,21,0,全屬性攻擊力降低[30] 100% 3回合,白海龍,,
228,無,無,威壓基因【特大】,XL,40,主動,古龍威壓,"高機率使敵方全體的全屬性攻擊力與全屬性防禦力中幅降低3回合。
【強化1】　賦予率：小幅提升
【強化2】　賦予率：中幅提升",全體,40,0,"全屬性攻擊力降低[30] 100% 3回合
全屬性防禦力降低[15] 100% 3回合",鋼龍,,
229,無,無,盲眼基因【小】,S,10,主動,閃光,"中機率使敵方全體陷入盲眼狀態3回合。
【強化1】　賦予率：小幅提升
【強化2】　賦予率：中幅提升",全體,4,0,盲眼[20] 50% 3回合,毒怪鳥、紫毒鳥,,
230,水,速度,盲眼基因【中】,M,1,主動,飛沙射擊,"對單一敵方造成水屬性小量傷害。中機率使其陷入盲眼狀態。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,10,40,盲眼[20] 50% 3回合,砂龍王、加爾克(水),,
231,,,盲眼基因【大】,L,,,,,,,,,,,
232,,,盲眼基因【特大】,XL,,,,,,,,,,,
233,冰,力量,雪罩基因【小】,S,1,主動,濺雪,"對單一敵方造成冰屬性小量傷害。低機率使其陷入技能封印狀態2回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,9,40,技能封印 35% 2回合,冰牙龍、波波、冰土砂龍,,
234,,,雪罩基因【中】,M,,,,,,,,,,,
235,,,雪罩基因【大】,L,,,,,,,,,,,
236,,,雪罩基因【特大】,XL,,,,,,,,,,,
237,,,熱線基因【小】,S,,,,,,,,,,,
238,火,力量,熱線基因【中】,M,1,主動,擴散熱線,"對敵方全體造成無視防禦力的火屬性傷害。高機率使其陷入燒傷。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,24,x1,"無視防禦力
燒傷 80% 3回合",鎧龍,,
239,火,力量,熱線基因【大】,L,15,主動,熱線,"對單一敵方造成無視防禦力的火屬性傷害。高機率使其陷入燒傷。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,14,x1,"無視防禦力
燒傷 80% 3回合",黑鎧龍,,
240,火,無,熱線基因【特大】,XL,30,主動,蓄力擴散熱線,"下個回合，對敵方全體發動無視防禦力的火屬性攻擊。高機率賦予燒傷。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",自身,36,20,"蓄力[100] 120% 2回合
無視防禦力
燒傷 80% 3回合",黑鎧龍,,
241,,,亂舞基因【小】,S,,,,,,,,,,,
242,,,亂舞基因【中】,M,,,,,,,,,,,
243,火,速度,亂舞基因【大】,L,15,主動,女王制裁,"對單一敵方造成火屬性大量傷害。低機率使其陷入燒傷狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,20,114,燒傷 35% 3回合,金火龍,,
244,火,力量,亂舞基因【特大】,XL,15,主動,王者制裁,"對單一敵方造成火屬性大量傷害。低機率使其陷入燒傷狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,20,114,燒傷 35% 3回合,銀火龍,,
245,,,龍捲基因【小】,S,,,,,,,,,,,
246,冰,速度,龍捲基因【中】,M,10,主動,冰旋風,"對敵方全體造成冰屬性小量傷害。低機率使其陷入技能封印狀態2回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,18,40,技能封印 35% 2回合,冰牙龍、加爾克(冰),,
247,無,技巧,龍捲基因【大】,L,1,主動,陷阱旋風,"對敵方全體造成無屬性中量傷害。引發龍捲並持續造成小量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",全體,30,60,龍捲異常 120% 3回合,鋼龍、風牙龍,,
248,,,龍捲基因【特大】,XL,,,,,,,,,,,
249,,,一擊必殺基因【小】,S,,,,,,,,,,,
250,無,力量,一擊必殺基因【中】,M,1,主動,致命銳角,"對單一敵方造成無屬性小量傷害。低機率即死。
【強化1】　賦予率：小幅提升
【強化2】　賦予率：中幅提升",單體,28,20,即死 30%,白一角龍,,
251,,,一擊必殺基因【大】,L,,,,,,,,,,,
252,,,一擊必殺基因【特大】,XL,,,,,,,,,,,
253,無,力量,雪上加霜基因P,L,30,主動,追全異常重擊P,"對單一敵方造成無屬性中量傷害。對狀態異常的敵方造成的傷害大幅提升。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,10,60,對異常狀態傷害提升,毒怪鳥,,
254,無,速度,雪上加霜基因S,L,30,主動,追全異常重擊S,"對單一敵方造成無屬性中量傷害。對狀態異常的敵方造成的傷害大幅提升。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,10,60,對異常狀態傷害提升,砂龍王、加爾克(無),,
255,無,技巧,雪上加霜基因T,L,30,主動,追全異常重擊T,"對單一敵方造成無屬性中量傷害。對狀態異常的敵方造成的傷害大幅提升。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,10,60,對異常狀態傷害提升,黑狼鳥,,
256,火,力量,陷阱基因P,L,30,主動,炸彈陷阱,"設置一個會在2回合後發動的火屬性陷阱。中機率賦予爆破異常。
※在正面對決中落敗時將無法設置成功。
【強化1】　賦予率：小幅提升
【強化2】　賦予率：中幅提升",單體,15,0,身陷爆彈陷阱[50] 100% 3回合,爆鎚龍,,
257,火,速度,陷阱基因S,L,40,主動,狐火陷阱,"設置一個會在2回合後發動的火屬性陷阱。中機率賦予燒傷。
※在正面對決中落敗時將無法設置成功。
【強化1】　賦予率：小幅提升
【強化2】　賦予率：中幅提升",單體,15,0,身陷狐火陷阱[50] 100% 3回合,天眼泡狐龍,,
258,雷,技巧,陷阱基因T,L,20,主動,雷陷阱,"設置一個會在2回合後發動的雷屬性陷阱。中機率賦予麻痺。
※在正面對決中落敗時將無法設置成功。
【強化1】　賦予率：小幅提升
【強化2】　賦予率：中幅提升",單體,15,0,身陷電磁陷阱[50] 100% 3回合,紅怪龍,,
259,火,力量,引爆基因【小】,S,1,主動,一觸即發,"對單一敵方造成火屬性小量傷害。立即引爆爆破異常狀態。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,13,40,引爆爆破異常狀態 100% 1回合,爆鎚龍,,
260,火,技巧,引爆基因【中】,M,1,主動,爆燃吐息,"對敵方全體造成火屬性中量傷害。立即引爆爆破異常狀態。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",全體,30,60,引爆爆破異常狀態 100% 1回合,爆鱗龍,,
261,火,速度,引爆基因【大】,L,40,主動,爆燃踢,"對單一敵方造成火屬性大量傷害。立即引爆爆破異常狀態。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,24,110,引爆爆破異常狀態 100% 1回合,大轟龍,,
262,火,力量,引爆基因【特大】,XL,15,主動,爆燃閃焰,"對敵方全體造成火屬性大量傷害。立即引爆爆破異常狀態。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",全體,48,110,引爆爆破異常狀態 100% 1回合,炎王龍,,
263,,,吸血基因【小】,S,,,,,,,,,,,
264,雷,技巧,吸血基因【中】,M,20,主動,噬能,"對單一敵方造成雷屬性中量傷害。根據造成傷害的比例回復體力。
【強化1】體力回復力：小幅提升
【強化2】體力回復力：中幅提升",單體,17,50,體力回復[傷害值20%],奇怪龍、加爾克(雷),,
265,龍,力量,吸血基因【大】,L,15,主動,噬龍,"對單一敵方造成龍屬性中量傷害。根據造成傷害的比例回復體力。
【強化1】體力回復力：小幅提升
【強化2】體力回復力：中幅提升",單體,20,50,體力回復[傷害值25%],恐暴龍、加爾克(龍),,
